4, 4, 42.00, 6.14, 4775.91, -458.09
4, 5, 47.25, 6.07, 4822.13, -467.94
5, 4, 47.25, 6.14, 4868.91, -474.54
4, 5, 47.25, 6.07, 4915.12, -484.39
4, 4, 42.00, 6.07, 4956.20, -493.14
5, 5, 52.50, 6.07, 5007.55, -504.09
4, 4, 42.00, 6.07, 5048.63, -512.84
5, 4, 47.25, 6.14, 5095.41, -519.43
5, 5, 52.50, 6.14, 5147.40, -526.76
5, 4, 47.25, 6.21, 5194.53, -530.07
4, 4, 42.00, 6.21, 5236.43, -533.00
5, 4, 47.25, 0.00, 5283.68, -533.00
4, 5, 47.25, 6.21, 5330.82, -536.31
5, 5, 52.50, 6.21, 5383.19, -539.98
4, 4, 42.00, 6.21, 5425.08, -542.92
4, 5, 47.25, 6.14, 5471.87, -549.51
5, 4, 47.25, 6.21, 5519.01, -552.82
4, 5, 47.25, 6.14, 5565.79, -559.41
4, 4, 42.00, 6.14, 5607.38, -565.27
5, 5, 52.50, 6.14, 5659.37, -572.60
4, 4, 42.00, 6.14, 5700.96, -578.46
4, 5, 47.25, 6.07, 5747.17, -588.31
5, 5, 52.50, 6.07, 5798.52, -599.25
4, 4, 42.00, 6.07, 5839.59, -608.01
5, 4, 47.25, 6.14, 5886.38, -614.60
4, 5, 47.25, 6.07, 5932.59, -624.45
4, 4, 42.00, 6.07, 5973.67, -633.20
5, 5, 52.50, 6.07, 6025.02, -644.15
4, 4, 42.00, 6.07, 6066.09, -652.90
5, 5, 52.50, 6.07, 6117.44, -663.85
4, 4, 42.00, 6.07, 6158.52, -672.60
5, 5, 52.50, 6.07, 6209.86, -683.55
5, 4, 47.25, 6.14, 6256.65, -690.14
4, 4, 42.00, 6.14, 6298.24, -696.00
5, 4, 47.25, 6.21, 6345.37, -699.31
5, 5, 52.50, 6.21, 6397.75, -702.98
4, 4, 42.00, 6.21, 6439.64, -705.92
4, 5, 47.25, 6.14, 6486.43, -712.51
5, 4, 47.25, 6.21, 6533.57, -715.81
5, 5, 52.50, 6.21, 6585.94, -719.49
4, 4, 42.00, 6.21, 6627.83, -722.42
4, 5, 47.25, 6.14, 6674.62, -729.02
5, 4, 47.25, 6.21, 6721.76, -732.32
4, 5, 47.25, 6.14, 6768.54, -738.91
5, 4, 47.25, 6.21, 6815.68, -742.22
4, 5, 47.25, 6.14, 6862.47, -748.81
4, 4, 42.00, 6.14, 6904.05, -754.67
4, 5, 47.25, 6.07, 6950.27, -764.52
5, 5, 52.50, 6.07, 7001.61, -775.47
4, 4, 42.00, 6.07, 7042.69, -784.22
5, 5, 52.50, 6.07, 7094.04, -795.17
4, 4, 42.00, 6.07, 7135.11, -803.92
4, 5, 47.25, 6.00, 7180.52, -816.98
5, 4, 47.25, 6.07, 7226.74, -826.83
4, 5, 47.25, 6.00, 7272.14, -839.89
5, 4, 47.25, 6.07, 7318.36, -849.74
4, 5, 47.25, 6.00, 7363.77, -862.80
4, 4, 42.00, 6.00, 7404.13, -874.40
5, 5, 52.50, 6.00, 7454.59, -888.91
5, 4, 47.25, 6.07, 7500.80, -898.76
4, 4, 42.00, 6.07, 7541.88, -907.52
5, 4, 47.25, 6.14, 7588.66, -914.11
5, 5, 52.50, 6.14, 7640.65, -921.44
4, 4, 42.00, 6.14, 7682.24, -927.30
5, 5, 52.50, 6.14, 7734.22, -934.62
4, 4, 42.00, 6.14, 7775.81, -940.48
4, 5, 47.25, 6.07, 7822.03, -950.33
5, 4, 47.25, 6.14, 7868.81, -956.93
4, 5, 47.25, 6.07, 7915.02, -966.78
4, 5, 47.25, 6.00, 7960.43, -979.83
5, 4, 47.25, 6.07, 8006.65, -989.68
4, 5, 47.25, 6.00, 8052.06, -1002.74
5, 4, 47.25, 6.07, 8098.27, -1012.59
4, 5, 47.25, 6.00, 8143.68, -1025.65
5, 4, 47.25, 6.07, 8189.89, -1035.50
5, 5, 52.50, 6.07, 8241.24, -1046.44
